UF,BA
Cidade,MUNDO NOVO
Nome Posto,MUNDO NOVO
Latitude,-11.85
Longitude,-40.46666666666667
Codigo,1140002
Qtd. Anos,75
Ano,Maxima
1911,33.8
1912,67.4
1913,45.8
1914,68
1915,67.2
1916,61.9
1917,61.2
1918,56
1919,16.5
1920,12.2
1921,50.4
1922,27.3
1923,28.3
1924,28.3
1925,27.3
1926,33.6
1927,28.6
1928,20.3
1929,28.4
1930,28.6
1931,24.3
1932,33.6
1933,21.6
1935,70
1936,67.4
1937,50.3
1938,85
1939,42
1940,86.2
1941,80
1942,58.5
1943,45
1944,80
1945,100
1946,60
1947,105
1948,61
1949,37
1950,47
1951,92
1952,157
1953,98
1954,43
1955,80
1956,102
1957,55
1958,88
1959,38
1960,95
1961,50
1962,131
1963,54
1964,98.3
1965,29.4
1966,130.3
1967,39.7
1968,68.3
1969,39.3
1970,82
1971,95
1972,70
1973,75
1974,85
1975,82
1976,203
1977,60.2
1978,129.1
1979,90.1
1980,200.2
1981,50
1982,32
1983,68.2
1984,80.3
1985,114.4
1986,20.1
