UF,BA
Cidade,JACOBINA
Nome Posto,JACOBINA-2
Latitude,-11.20361111111111
Longitude,-40.48416666666667
Codigo,1140016
Qtd. Anos,57
Ano,Maxima
1942,53.8
1943,75
1944,67
1945,140
1946,81
1947,46
1948,55
1949,87
1950,64
1951,89.4
1952,68
1953,153
1954,125
1955,46
1956,58.4
1957,85
1958,100
1959,68
1960,56.2
1961,28.2
1962,100.2
1963,100.2
1964,18.4
1965,43
1966,92.4
1967,84.2
1968,65.2
1969,92
1970,85
1971,52.3
1972,114.4
1973,48.4
1974,79
1975,45.2
1976,59.1
1977,92
1978,50
1979,118.2
1980,55.2
1981,84.3
1982,51.2
1983,104.1
1984,88.8
1985,126.4
1986,49.3
1987,83.5
1988,87.5
1989,58.2
1990,79
1991,51.5
1992,92.9
1993,55.3
1994,141.7
1995,86.2
1996,105.4
1997,71.7
1998,100.5
