UF,BA
Cidade,PARATINGA
Nome Posto,PARATINGA
Latitude,-12.7
Longitude,-43.166666666666664
Codigo,1243006
Qtd. Anos,82
Ano,Maxima
1911,29.8
1912,54.4
1913,66.8
1914,56.7
1915,66.6
1916,66.5
1917,63
1918,63
1919,63
1920,63
1921,55.6
1922,64.2
1923,62.5
1924,65.3
1925,37.3
1926,52.1
1927,64.7
1928,63.3
1929,34.8
1930,63.4
1931,45.1
1932,44.2
1933,73.5
1934,64.4
1935,24.6
1936,26
1937,64.1
1938,76.2
1939,33.4
1940,64.3
1941,62.4
1942,63
1943,63.3
1944,49.5
1945,72.6
1946,60.8
1947,51.3
1948,51.6
1949,58.1
1950,56.9
1951,60.7
1952,58.4
1953,123.8
1954,32.6
1955,60.8
1956,66.4
1957,71.6
1958,129.8
1959,49.2
1960,53.2
1961,97.4
1962,74.8
1963,93.2
1964,92.2
1965,67.2
1966,96.1
1967,53.2
1968,69.8
1969,75.6
1970,87
1971,65.6
1972,76.4
1973,45.6
1974,77.4
1975,56.8
1976,89.2
1977,241
1978,108.4
1979,113.2
1980,91.2
1981,54.8
1982,65.4
1983,74.4
1984,65.2
1985,110.6
1986,50.8
1987,116.4
1988,57.4
1989,62.6
1990,46.6
1991,59.6
1994,75.6
