UF,BA
Cidade,PEDRO ALEXANDRE
Nome Posto,CIPO DE LEITE
Latitude,-10.2
Longitude,-37.78333333333333
Codigo,1037052
Qtd. Anos,53
Ano,Maxima
1941,31
1942,28.3
1943,50
1944,92.1
1945,24.7
1946,16.5
1947,25.7
1948,22.9
1949,25.5
1950,24.2
1951,21.4
1952,58.8
1953,34.4
1954,26.7
1955,23
1956,21.3
1957,23
1958,14
1959,25
1960,70.4
1961,98.4
1962,91.4
1963,174
1964,70
1965,50
1966,100
1967,72.6
1968,97
1969,37.2
1970,38.4
1971,75
1972,70.4
1973,32.4
1974,52
1975,40
1976,75
1977,70
1978,47
1979,50
1980,76
1981,51
1982,50
1983,45
1984,26
1985,50
1986,56
1987,55
1988,29
1989,90
1990,72
1991,25
1993,17
1994,58
