UF,BA
Cidade,SAO FRANCISCO DO CONDE
Nome Posto,SAO BENTO DAS LAJES
Latitude,-12.616666666666667
Longitude,-38.666666666666664
Codigo,1238026
Qtd. Anos,35
Ano,Maxima
1936,72.1
1937,76.1
1938,77.3
1939,69.6
1940,63.2
1941,65.4
1942,67.4
1943,72.4
1944,65.8
1945,72
1946,74
1947,101.6
1948,58.7
1949,41
1950,41.3
1951,133
1952,103.4
1953,69.2
1954,70.3
1955,104.8
1956,75.3
1957,71.7
1958,113.4
1959,38
1960,85.5
1961,49.3
1962,144.9
1963,196.8
1964,105.3
1965,108.4
1966,141
1967,77.2
1968,84.4
1969,120.2
1970,105.5
