UF,BA
Cidade,SANTO ANTONIO DE JESUS
Nome Posto,SANTO ANTONIO DE JESUS
Latitude,-12.966666666666667
Longitude,-39.25
Codigo,1239022
Qtd. Anos,46
Ano,Maxima
1942,52.5
1943,66.5
1944,63
1945,50
1946,54.5
1947,93.9
1948,99.5
1949,35.2
1950,84.7
1951,70.1
1952,91.9
1953,43.5
1954,83.1
1955,68.4
1956,92.1
1957,46.1
1958,50.3
1959,76.8
1960,65.3
1961,59.2
1962,74.2
1963,113.2
1964,121.6
1965,73.8
1966,62
1967,66.2
1968,47.2
1969,34.1
1970,42.6
1971,63
1972,28.4
1973,23.9
1974,44.2
1975,66.2
1976,136.1
1977,28.2
1978,62.2
1979,52.2
1980,63.2
1981,48.2
1982,33.3
1983,26.4
1984,88.9
1985,73.4
1986,9.4
1987,14.2
