UF,BA
Cidade,CORIBE
Nome Posto,COLONIA DO FORMOSO
Latitude,-13.566666666666666
Longitude,-44.30611111111111
Codigo,1344015
Qtd. Anos,51
Ano,Maxima
1962,132
1963,114.8
1964,100
1972,64
1973,48
1974,60
1975,59
1976,33.4
1977,81
1978,112
1979,87.4
1980,84.2
1981,96
1982,45
1983,60.4
1984,70.4
1985,109
1986,58
1987,81
1988,119.6
1989,134.8
1990,43.4
1991,83
1992,163.4
1993,72
1994,61
1995,64.4
1996,62.2
1997,84.1
1998,54.1
1999,82.3
2000,62.4
2001,68.3
2002,87.5
2003,37.4
2004,99.5
2005,105
2006,106.3
2007,97
2008,122.7
2009,88.7
2010,77.2
2011,87.3
2012,85.2
2013,73.9
2014,53.5
2015,49.2
2016,107.5
2017,68.5
2018,89.4
2019,81.2
