UF,BA
Cidade,PAULO AFONSO
Nome Posto,PAULO AFONSO
Latitude,-9.378055555555555
Longitude,-38.22638888888889
Codigo,938018
Qtd. Anos,65
Ano,Maxima
1913,37.3
1914,69.7
1915,68
1916,72.8
1917,65.9
1918,47.2
1919,36.4
1920,94.8
1921,71
1922,40.9
1923,65
1924,89.8
1925,63.5
1926,88.9
1927,64.2
1928,64.5
1929,70.4
1930,66.4
1931,63
1932,68
1933,66
1934,84
1935,66
1936,92
1937,85
1938,25.4
1939,43
1940,53
1941,96
1942,61.5
1943,43
1944,80
1945,56.8
1946,29.5
1947,62.8
1948,186
1949,94
1950,150
1951,83
1952,85
1953,30
1954,104.2
1955,60
1956,45
1957,103
1958,85
1959,42
1960,128
1961,95.3
1962,90
1963,106
1964,65
1965,140.3
1966,80.9
1967,58.9
1968,30
1969,56.1
1970,58.8
1971,35
1972,59.8
1975,53
1976,30.9
1977,48
1978,157.7
1979,13.8
