UF,BA
Cidade,BARRA DO MENDES
Nome Posto,BARRA DO MENDES
Latitude,-11.816666666666666
Longitude,-42.06666666666667
Codigo,1142014
Qtd. Anos,53
Ano,Maxima
1937,41
1938,58.3
1939,58.9
1940,71.2
1941,42.1
1942,68.7
1943,76.2
1944,42.5
1945,84.2
1946,37.5
1947,72.3
1948,51.4
1949,58.6
1950,45.5
1951,60.7
1952,91.4
1953,49.2
1954,62.9
1955,77.8
1956,23.4
1957,59
1958,90.2
1959,111.2
1960,102.3
1961,46.6
1962,90
1963,108.2
1964,86
1965,60.6
1966,93.4
1967,99.2
1968,169
1969,66.4
1970,90.5
1971,42.2
1972,88.6
1973,100.2
1974,66.5
1975,62.4
1976,53.4
1977,71.4
1978,79
1979,70.7
1980,52
1981,105
1982,67.5
1983,54.2
1984,35.9
1985,83
1986,82.3
1987,69.3
1988,85.2
1989,32.5
