UF,BA
Cidade,CONCEICAO DO COITE
Nome Posto,SALGADALIA
Latitude,-11.466666666666667
Longitude,-39.18333333333333
Codigo,1139000
Qtd. Anos,53
Ano,Maxima
1935,40.3
1936,55
1937,68.7
1938,48.7
1939,57.3
1940,130.9
1941,70
1942,90
1943,40
1944,110
1945,36
1946,62
1947,40
1948,68
1949,135
1950,23
1951,58
1952,35.2
1953,49
1954,57.6
1955,52
1956,55
1957,40
1958,105
1959,40
1960,77
1961,69
1962,60.2
1963,73
1964,76
1965,61.1
1966,66
1967,47.1
1968,72.4
1969,89.2
1970,100.8
1971,140
1972,52
1973,45
1974,35
1975,50
1976,160.4
1977,54
1978,65.2
1979,62.4
1980,115.8
1981,85
1982,185
1983,105.6
1984,95.2
1985,96.8
1989,77
1990,25
