UF,BA
Cidade,ESPLANADA
Nome Posto,CORTE GRANDE
Latitude,-12.057500000000001
Longitude,-37.756388888888885
Codigo,1237000
Qtd. Anos,55
Ano,Maxima
1965,6
1966,23.2
1967,115.5
1968,24.2
1969,53.4
1970,46.4
1971,23
1972,80.3
1973,58.4
1974,55.4
1975,105.2
1976,64.4
1977,63.2
1978,57.8
1979,73.4
1980,54.8
1981,66.4
1982,76.6
1983,88.6
1984,97.2
1985,156.6
1986,133.6
1987,72.3
1988,118.2
1989,138.6
1990,54.4
1991,136.3
1992,68.6
1993,145.7
1994,114.6
1995,76.8
1996,86.8
1997,119.2
1998,69.7
1999,64.8
2000,101
2001,96.9
2002,52.6
2003,82.2
2004,86.8
2005,124.7
2006,113.6
2007,50.8
2008,68.6
2009,100.2
2010,64.8
2011,86.4
2012,78.6
2013,102
2014,133.4
2015,83.4
2016,54.9
2017,85.4
2018,110.4
2019,82.1
