UF,BA
Cidade,SAO DESIDERIO
Nome Posto,FAZENDA PRAINHA (FAZ.ANTAS)
Latitude,-13.3125
Longitude,-46.06305555555555
Codigo,1346007
Qtd. Anos,39
Ano,Maxima
1981,83.9
1982,30.7
1983,55.2
1984,102.5
1985,98.6
1986,62.4
1987,108.5
1988,137.1
1989,68.8
1990,49.5
1991,48.5
1992,88.3
1993,82.4
1994,50.9
1995,73.7
1996,83.4
1997,76.6
1998,118.1
1999,90
2000,71.3
2001,67.5
2002,45
2003,72.2
2004,107.2
2005,115
2006,62.5
2007,45.9
2008,53.6
2009,64
2010,83.5
2011,71.4
2012,84.8
2013,56.8
2014,94.6
2015,42.5
2016,78.1
2017,134.1
2018,74.3
2019,79.3
