UF,BA
Cidade,CHORROCHO
Nome Posto,CHORROCHO
Latitude,-8.979444444444445
Longitude,-39.098333333333336
Codigo,839027
Qtd. Anos,68
Ano,Maxima
1937,82
1938,40.8
1939,60
1940,60.9
1941,90
1942,56
1943,22.4
1944,30.4
1945,78
1946,47
1947,80
1948,47
1949,41
1950,96
1951,45
1952,48
1953,65
1954,130
1955,34
1956,100
1957,57
1958,60
1959,42.4
1960,76
1961,97
1962,47
1963,59
1964,85
1965,70
1966,45.2
1967,65.6
1968,32
1969,80
1970,76
1971,65.6
1972,72
1973,80
1974,100.8
1975,104
1976,39
1977,63
1978,60.8
1979,70
1980,100.4
1981,63
1982,91
1983,36
1985,120
1986,50
1987,35
2002,20
2003,48.6
2004,74.5
2005,39
2006,38.5
2007,38
2008,71.9
2009,30.3
2010,68.7
2011,40.6
2012,33.9
2013,97.7
2014,202.4
2015,30.2
2016,101.5
2017,79.5
2018,118.3
2019,22.6
