UF,BA
Cidade,BELMONTE
Nome Posto,BELMONTE
Latitude,-15.870555555555557
Longitude,-38.88861111111111
Codigo,1538001
Qtd. Anos,52
Ano,Maxima
1945,116
1946,60
1947,85
1948,66.4
1949,60.2
1950,81
1951,65
1952,97.5
1953,154
1954,85
1955,70
1956,85
1957,98
1958,85.5
1959,42.3
1960,124
1961,59.3
1962,62
1963,172.4
1964,134
1965,55.1
1966,136.2
1967,127.2
1968,61.2
1969,48
1970,94.2
1971,110.2
1995,138.2
1996,52.3
1997,71
1998,86
1999,121.9
2000,83.9
2001,61.2
2002,46.3
2003,40.4
2004,60.8
2005,87.3
2006,174.2
2007,82
2008,69.2
2009,100.9
2010,150
2011,72
2012,40.5
2013,139
2014,90
2015,70
2016,83.3
2017,77.3
2018,74.2
2019,98.9
