UF,BA
Cidade,BARREIRAS
Nome Posto,NOVA VIDA - MONTANTE
Latitude,-11.8525
Longitude,-45.12222222222222
Codigo,1145014
Qtd. Anos,48
Ano,Maxima
1972,47.2
1973,60
1974,90
1975,74
1976,58.4
1977,48.1
1978,84.5
1979,75.4
1980,68.7
1981,99.8
1982,61.4
1983,89.3
1984,65.3
1985,63.5
1986,85.3
1987,68.1
1988,98.2
1989,84.6
1990,68.2
1991,99.3
1992,84.2
1993,72.2
1994,97
1995,65.2
1996,55.1
1997,62.1
1998,79.2
1999,65.4
2000,67.5
2001,77.8
2002,75.2
2003,76.5
2004,86.4
2005,64.5
2006,75.2
2007,98.2
2008,65.4
2009,58.2
2010,95.5
2011,77.5
2012,71.2
2013,204.7
2014,84.2
2015,64.4
2016,75.8
2017,82.4
2018,65.8
2019,92.7
