UF,BA
Cidade,JUAZEIRO
Nome Posto,JUNCO
Latitude,-9.676666666666666
Longitude,-40.60388888888889
Codigo,940028
Qtd. Anos,48
Ano,Maxima
1972,81
1973,89
1974,88
1975,103
1976,35.8
1977,35
1978,79
1979,36.5
1980,93.4
1981,100.4
1982,43.6
1983,79.6
1984,41.6
1985,97
1986,66
1987,50
1988,70.2
1989,94.2
1990,75.1
1991,72.7
1992,89
1993,54.5
1994,44.9
1995,137.6
1996,64.9
1997,75
1998,59.2
1999,70.6
2000,57.5
2001,36.1
2002,128.1
2003,44.6
2004,129.2
2005,61.7
2006,106
2007,116.4
2008,88.9
2009,61.9
2010,55
2011,71.4
2012,33.8
2013,37.9
2014,58.3
2015,27
2016,102.1
2017,54
2018,98.5
2019,43.4
