UF,BA
Cidade,ALAGOINHAS
Nome Posto,ALAGOINHAS 
Latitude,-12.148888888888889
Longitude,-38.424166666666665
Codigo,1238006
Qtd. Anos,44
Ano,Maxima
1943,34.1
1944,52.3
1945,113
1946,48.2
1947,130
1948,53.1
1949,50.3
1950,55.3
1951,59.4
1952,46.7
1953,32.4
1954,50.3
1955,36.9
1956,33.8
1957,30.7
1958,41
1959,33.6
1960,51.2
1961,34.2
1962,68
1963,300
1964,113
1965,43.8
1966,109.2
1967,46.4
1968,79.5
1969,87.7
1970,71.4
1977,68.6
1978,45
1979,31.8
1980,62.3
1983,34.8
1986,33.4
1987,64.3
1988,94.6
1989,28.9
1992,75.2
1993,42.2
1994,32.3
1995,63.2
1996,67.4
1997,69.3
1998,32.3
