UF,BA
Cidade,ANDARAI
Nome Posto,ANDARAI
Latitude,-12.801666666666668
Longitude,-41.3275
Codigo,1241008
Qtd. Anos,76
Ano,Maxima
1943,83.3
1944,87
1945,62.4
1946,97.4
1947,142.2
1948,69.8
1949,76.6
1950,52.4
1951,86.4
1952,62.8
1953,52.4
1954,187.6
1955,68.6
1956,125.8
1957,116.6
1958,94
1959,35.6
1960,61.1
1961,37.4
1963,67.6
1964,166.2
1965,77.8
1966,141.6
1967,180.6
1968,121.8
1969,137.4
1970,104
1971,85.4
1972,165.2
1973,118.2
1974,125.6
1975,83.4
1976,82.2
1977,100.8
1978,217.7
1979,99.4
1980,80.2
1981,81.1
1982,68.2
1983,106.5
1984,56.7
1985,154.5
1986,98.2
1987,110.4
1988,86.1
1989,84.3
1990,44.4
1991,165.4
1992,98.3
1993,29.6
1994,13.4
1995,88
1996,72.7
1997,110
1998,118.6
1999,101.9
2000,91.3
2001,108.7
2002,110.7
2003,90.8
2004,92.1
2005,87.8
2006,112.4
2007,73.5
2008,72.2
2009,104.4
2010,87.6
2011,100.4
2012,24.8
2013,85.4
2014,150
2015,110.1
2016,133.5
2017,184.6
2018,71.5
2019,114.5
