UF,BA
Cidade,LENCOIS
Nome Posto,PORTO
Latitude,-12.497499999999999
Longitude,-41.29611111111111
Codigo,1241017
Qtd. Anos,79
Ano,Maxima
1941,53.1
1942,53
1943,50
1944,50
1945,55.1
1946,66.1
1947,90.2
1948,73.2
1949,80.8
1950,80.5
1951,86.2
1952,78.4
1953,94.8
1954,131
1955,78.4
1956,176
1957,75
1958,174
1959,65.6
1960,166
1961,35.8
1962,46.4
1963,58.6
1964,113
1965,60
1966,114
1967,99
1968,71.6
1969,77.8
1970,76.7
1971,87.7
1972,84.5
1973,83
1974,133.4
1975,112.6
1976,60.3
1977,131.3
1978,108.5
1979,68
1980,66
1981,89
1982,76
1983,58
1984,48
1985,91.1
1986,90
1987,74.2
1988,62.6
1989,78.1
1990,84
1991,83.3
1992,84
1993,43.5
1994,36.4
1995,49.3
1996,23.4
1997,83.7
1998,70.9
1999,54.9
2000,64.8
2001,33.6
2002,48.7
2003,51.6
2004,95.3
2005,84.3
2006,37.1
2007,53.8
2008,146.3
2009,113.8
2010,54.6
2011,46.3
2012,22.4
2013,41.5
2014,125.3
2015,41
2016,98.9
2017,88.9
2018,87.8
2019,35.5
