UF,BA
Cidade,FEIRA DE SANTANA
Nome Posto,FEIRA DE SANTANA-1
Latitude,-12.266666666666667
Longitude,-38.96666666666667
Codigo,1238028
Qtd. Anos,55
Ano,Maxima
1936,24.5
1937,94.2
1938,40.4
1939,61
1940,62.9
1941,114.4
1942,54.9
1943,38.6
1944,47
1945,57.4
1946,30
1947,78.7
1948,57.8
1949,74
1950,66
1951,68
1952,74
1953,31
1954,118
1955,173
1956,56
1957,55
1958,80
1959,33
1960,72.5
1961,52.2
1962,72.4
1963,57.5
1964,62
1965,96
1966,43.8
1967,57.6
1968,78
1969,75.6
1970,119.6
1971,33.2
1972,53.6
1973,54
1974,52.2
1975,55.8
1976,59
1977,68
1978,75.4
1979,44
1980,61
1981,78
1982,72
1983,33.4
1984,40.2
1985,75
1986,83
1987,42.2
1988,55.2
1989,46
1990,20.2
