UF,BA
Cidade,ITAMARAJU
Nome Posto,ITAMARAJU
Latitude,-17.045
Longitude,-39.54472222222222
Codigo,1739005
Qtd. Anos,66
Ano,Maxima
1954,37.3
1955,102.4
1956,93.8
1957,57
1958,61.3
1959,63.5
1960,90
1961,68.1
1962,75.5
1963,80
1964,62.5
1965,50
1966,52
1967,70
1968,73
1969,96.6
1970,69.5
1971,40
1972,50
1973,88
1974,93.3
1975,59
1976,117.5
1977,70.8
1978,92.4
1979,55.5
1980,75.7
1981,68
1982,95
1983,94.6
1984,79.3
1985,58.9
1986,70.5
1987,57.1
1988,53.5
1989,92.9
1990,50.9
1991,91.1
1992,52.8
1993,72
1994,60.7
1995,58.5
1996,82.9
1997,89.5
1998,67.2
1999,94.7
2000,96.8
2001,44.7
2002,126.1
2003,97.6
2004,48.6
2005,162
2006,68.9
2007,59.8
2008,44.5
2009,98.9
2010,100.6
2011,73.6
2012,52.9
2013,116.6
2014,66.8
2015,97.6
2016,109.7
2017,91.6
2018,96.9
2019,76
