UF,BA
Cidade,IRECE
Nome Posto,IRECE
Latitude,-11.3
Longitude,-41.86666666666667
Codigo,1141007
Qtd. Anos,72
Ano,Maxima
1943,70.9
1944,80.4
1945,51
1946,55
1947,81.8
1948,46.5
1949,49.8
1950,51.6
1951,57
1952,59.2
1953,33.3
1954,49.2
1955,78.2
1956,50.1
1957,70.5
1958,67.4
1959,48.5
1960,80.6
1961,112.1
1962,93.5
1963,72.2
1964,70
1965,81.7
1966,82
1967,77.3
1968,54.6
1969,58.4
1970,58.2
1971,36.5
1972,63
1973,84
1974,65
1975,46
1976,78.5
1977,194.1
1978,36.5
1979,46.2
1980,117
1981,71.8
1982,49.1
1983,55.8
1984,68.4
1985,91
1986,94.4
1987,58.3
1988,135.6
1989,52.8
1991,96.5
1992,56.2
1993,35.7
1994,60.8
1995,50.3
1996,55
1997,70
1998,121.6
1999,113
2000,135.6
2001,28.5
2002,83
2003,136.8
2004,74.3
2005,86.2
2006,74.8
2007,43.3
2008,60.4
2009,84.3
2010,63.6
2011,56
2012,57.4
2013,97
2014,42.1
2015,38.4
