UF,BA
Cidade,CASTRO ALVES
Nome Posto,CASTRO ALVES
Latitude,-12.766666666666667
Longitude,-39.416666666666664
Codigo,1239002
Qtd. Anos,74
Ano,Maxima
1915,60.5
1916,63.3
1917,53.8
1918,71.6
1919,40.7
1920,49.8
1921,67.4
1922,120.9
1923,41.7
1924,61.7
1925,44.5
1926,46.5
1927,74.4
1929,74.4
1930,64.2
1931,33.1
1932,53.7
1933,63.3
1934,121
1935,44.2
1936,45.3
1937,31.9
1938,100.1
1939,80.1
1940,59.7
1941,100
1942,102.6
1943,100.2
1944,80
1945,62.4
1946,90
1947,80
1948,100.4
1949,60
1950,70.1
1951,40.1
1952,26.4
1953,60.2
1954,42.1
1955,100
1956,37.2
1957,100
1958,29.3
1959,87.2
1960,100
1961,101.8
1962,56.4
1963,63.3
1964,100.6
1965,100
1966,30.2
1967,80.1
1968,100
1969,100.1
1970,80.4
1971,100.7
1972,129
1973,100
1974,100.2
1975,101.6
1976,40
1977,60
1978,100.2
1979,60.1
1980,20.1
1981,30
1982,100
1983,20
1984,100
1985,62.5
1986,80.1
1987,41
1989,106
1990,20.6
