UF,BA
Cidade,SAO DESIDERIO
Nome Posto,SITIO GRANDE
Latitude,-12.430555555555555
Longitude,-45.08583333333333
Codigo,1245007
Qtd. Anos,52
Ano,Maxima
1952,42.9
1953,84
1954,69.2
1955,84.3
1972,87
1973,79.8
1974,80
1975,68
1976,63
1977,69
1978,53
1979,76
1980,79.3
1981,75
1982,110
1983,88.2
1984,75.8
1985,144
1986,63.7
1987,102.1
1988,95.7
1989,83.2
1990,75.5
1991,98.7
1992,126.2
1993,52
1994,56.7
1995,87.5
1996,95.9
1997,72.5
1998,60.2
1999,82.5
2000,57.5
2001,52.8
2002,59.1
2003,69.2
2004,70.7
2005,73
2006,84.5
2007,76.9
2008,66.8
2009,94.3
2010,77.8
2011,105
2012,94
2013,71.5
2014,62.2
2015,53
2016,90
2017,75.6
2018,77.8
2019,74.9
