UF,BA
Cidade,EUNAPOLIS
Nome Posto,MUNDO NOVO
Latitude,-16.265
Longitude,-39.583333333333336
Codigo,1639000
Qtd. Anos,57
Ano,Maxima
1962,80
1963,65
1964,70.4
1965,75.4
1966,82.4
1967,57.4
1969,71.4
1970,89.6
1971,10.2
1972,114
1973,68.8
1974,79.2
1975,73
1976,65.2
1977,53
1978,81
1979,72
1980,75.6
1981,67.6
1982,123.4
1983,56.4
1984,51.4
1985,77.6
1986,59
1987,105
1988,31.4
1989,116.2
1990,100.5
1991,118.8
1992,69
1993,65.2
1994,62
1995,88.7
1996,71.6
1997,78
1998,73.4
1999,90.6
2000,88.5
2001,51.4
2002,36.3
2003,94.5
2004,76
2005,57.7
2006,97.3
2007,150.9
2008,60.5
2009,96.4
2010,54.3
2011,59.6
2012,93.8
2013,91.5
2014,72.5
2015,52.5
2016,69.7
2017,134.2
2018,45.9
2019,89.3
