UF,BA
Cidade,NILO PECANHA
Nome Posto,NILO PECANHA
Latitude,-13.596666666666668
Longitude,-39.124722222222225
Codigo,1339044
Qtd. Anos,68
Ano,Maxima
1945,71.6
1946,78.4
1947,89.3
1948,83.8
1949,76.2
1950,39.3
1951,42.8
1953,60.1
1954,58.3
1955,44.8
1956,61.2
1957,89.2
1958,71.5
1959,35.6
1961,16.8
1962,48.9
1963,33.8
1966,137
1967,100.9
1968,67.8
1969,83.8
1970,68
1971,104
1972,75
1973,90
1974,105
1975,64.4
1976,161.1
1977,77.5
1978,65.4
1979,60.2
1980,75.3
1981,74.4
1982,76
1983,50.5
1984,86.8
1985,70.8
1986,54.1
1987,41.3
1988,59.8
1989,99.2
1990,70.3
1991,64.8
1993,25.4
1995,88.9
1996,46
1997,81.3
1998,48.5
1999,54.2
2000,32.1
2001,39.8
2002,24.6
2003,46.1
2004,31.8
2005,16.1
2006,23.3
2007,26.4
2008,22.8
2009,37
2010,58.9
2011,60
2012,25.3
2013,240
2014,48
2015,70
2016,71
2017,17.4
2019,36.9
