UF,BA
Cidade,SAO DESIDERIO
Nome Posto,FAZENDA COQUEIRO
Latitude,-12.389166666666666
Longitude,-44.93222222222222
Codigo,1244019
Qtd. Anos,48
Ano,Maxima
1972,70.7
1973,95.8
1974,75.2
1975,119.2
1976,60.8
1977,140.8
1978,103.2
1979,95
1980,62
1981,72
1982,70
1983,126.6
1984,85
1985,100
1986,72.5
1987,56
1988,117.1
1989,109.3
1990,63.7
1991,64.8
1992,184
1993,91.5
1994,74.5
1995,88.2
1996,46.9
1997,77.1
1998,102.6
1999,68.2
2000,64.1
2001,84.3
2002,103.2
2003,50
2004,66.8
2005,109.5
2006,102
2007,70
2008,72
2009,67.2
2010,72.5
2011,130
2012,106.2
2013,56.6
2014,67.5
2015,90
2016,79
2017,85.6
2018,130
2019,87.5
