UF,BA
Cidade,CASA NOVA
Nome Posto,CASA NOVA
Latitude,-9.174999999999999
Longitude,-40.97
Codigo,941011
Qtd. Anos,84
Ano,Maxima
1911,57.4
1912,67.9
1913,262.3
1914,65.2
1915,128
1916,64
1917,64
1918,64
1919,64
1920,71.3
1921,89.8
1922,65.9
1923,53.2
1924,66.8
1925,54.3
1926,75.8
1927,65.6
1928,65.7
1929,68.8
1930,57.3
1931,38.2
1932,66
1933,73
1934,63.6
1935,41
1936,162
1937,68.3
1938,111.6
1939,85
1940,100.1
1941,87.4
1942,60.3
1943,87.6
1944,68.6
1945,66.4
1946,54.9
1947,77.3
1948,55.4
1949,56.4
1950,90.1
1951,36.8
1952,95.6
1953,73.6
1954,56.2
1955,85.4
1956,60
1957,84.2
1958,72.4
1959,48.5
1960,126
1961,60.8
1962,42.5
1963,49.2
1964,62.8
1965,67.2
1966,59
1967,95.2
1968,73.6
1969,65.6
1970,25.1
1971,55.4
1972,49.4
1973,155.2
1974,45.2
1975,55.6
1976,105.6
1977,60.8
1978,140.4
1979,112.4
1980,45.6
1981,61.5
1982,78.8
1983,58.4
1984,79.8
1985,102.6
1986,47.2
1987,100
1988,107.2
1989,80
1990,80.1
1991,71.8
1994,70.2
1995,33.6
1996,65.2
