UF,BA
Cidade,JAGUARARI
Nome Posto,BARRINHA
Latitude,-9.982777777777779
Longitude,-40.2425
Codigo,940009
Qtd. Anos,62
Ano,Maxima
1934,55
1935,95.5
1936,28
1937,82
1938,39
1939,47
1940,102
1941,87.6
1942,56
1943,75.8
1944,42
1945,60
1946,84
1947,63.2
1948,38.6
1949,72.3
1950,26.2
1951,51.2
1952,62.3
1953,14.9
1954,35.4
1955,72.4
1956,54.2
1957,91.8
1958,41.4
1959,24.3
1960,141.2
1961,47.2
1962,75.6
1963,50.2
1964,176.4
1965,256.2
1966,92.4
1967,98.4
1968,65.4
1969,93
1970,62
1971,73.4
1972,102
1973,57
1974,120.2
1975,42.6
1976,57.3
1977,74.7
1978,57.5
1979,60
1980,106
1981,92
1982,80.4
1983,119
1984,40.4
1985,60.2
1986,55.2
1987,65
1988,130.2
1989,68.2
1990,47.3
1991,43.8
1994,40.2
1995,70
1996,47
1997,137
