UF,BA
Cidade,IBITIARA
Nome Posto,IBITIARA (BOM SUCESSO)
Latitude,-10.433333333333334
Longitude,-42.31666666666667
Codigo,1042001
Qtd. Anos,54
Ano,Maxima
1937,29.5
1938,72
1939,57
1940,60
1941,65.9
1942,59.8
1943,68.3
1944,42.4
1945,52.3
1946,62.3
1947,73.5
1948,60.1
1949,49.3
1950,76
1951,54.8
1952,65
1953,65
1954,74
1955,30.5
1956,75
1957,64
1958,66.6
1959,48.3
1960,45.3
1961,60.6
1962,37.5
1963,36.5
1964,42.3
1965,77.2
1966,85.3
1967,65.2
1968,44
1969,120.2
1970,67.3
1971,94.5
1972,251.3
1973,27.3
1974,85.3
1975,85.2
1976,62.2
1977,135
1978,175
1979,80.2
1980,53.2
1981,70.2
1982,93.2
1983,50.2
1984,40.2
1985,65
1986,50.2
1987,80.2
1988,62
1989,50.2
1990,12
