UF,BA
Cidade,PIATA
Nome Posto,PIATA (ANCHIETA)
Latitude,-13.15
Longitude,-41.78333333333333
Codigo,1341006
Qtd. Anos,52
Ano,Maxima
1918,61.5
1919,84.5
1920,50.9
1921,64.7
1922,21.9
1942,61.7
1943,46
1944,45.8
1945,67.4
1946,80.5
1947,63
1948,52.2
1949,114.4
1950,56.9
1951,41.6
1952,81.8
1953,52.9
1954,61.1
1955,77.9
1956,78
1957,52.3
1958,44.3
1959,40
1960,85.3
1961,55.6
1962,54.5
1963,67.6
1964,98
1965,47.2
1966,62.5
1967,59.6
1968,58.2
1969,70.4
1970,63
1971,47.9
1972,90
1973,100.1
1974,103.6
1975,100.8
1976,46.5
1977,80
1978,80
1979,80
1980,50.5
1981,107.1
1982,102.6
1983,102.2
1984,80
1985,80.1
1989,60
1990,60.1
1991,34
