UF,BA
Cidade,MORRO DO CHAPEU
Nome Posto,MORRO DO CHAPEU  83184
Latitude,-11.5475
Longitude,-41.15138888888889
Codigo,1141003
Qtd. Anos,74
Ano,Maxima
1913,43.8
1914,69.7
1915,82.2
1916,48.5
1917,193
1918,55
1919,40
1920,69.4
1921,74.4
1922,85.7
1923,72
1924,99.7
1925,69.3
1926,106.4
1927,63
1928,51
1929,52.1
1930,82.2
1931,34
1932,35.6
1933,102.4
1934,47.4
1935,85.6
1936,95.2
1937,78.8
1938,36.4
1939,106.3
1940,76.2
1941,50.9
1942,76
1943,50.3
1944,62.7
1945,91.5
1946,38.4
1947,62.6
1948,59.3
1949,43
1950,40
1951,63.5
1952,101
1953,29.5
1954,69.6
1955,104
1956,48.5
1957,74.3
1958,50.2
1959,46.3
1960,52.8
1961,66.2
1962,72.7
1963,105
1964,65.2
1965,48.5
1966,64.2
1967,47.6
1968,58.2
1969,111
1970,40.4
1977,124.8
1978,31.2
1979,68.1
1980,62.4
1986,24.8
1987,104.5
1988,49.2
1989,29.4
1991,62.2
1992,71
1993,44.9
1994,48
1995,58
1996,43.2
1997,109.4
1998,60.3
