UF,BA
Cidade,PIRITIBA
Nome Posto,PIRITIBA
Latitude,-11.716666666666667
Longitude,-40.56666666666667
Codigo,1140001
Qtd. Anos,47
Ano,Maxima
1959,42.6
1960,63.5
1961,105.1
1962,63.5
1963,65.4
1964,73.2
1965,27.5
1966,56.8
1967,42.9
1968,56.4
1969,56.6
1970,43.5
1971,72.9
1972,56.4
1973,63.8
1974,56.2
1975,76.8
1976,56.9
1977,27.8
1978,86.9
1979,52.3
1980,88.2
1981,36.6
1982,16.8
1983,34.8
1984,62.6
1985,93.8
1986,80
1987,80
1988,60
1989,84.4
1990,40
1997,6.8
1998,24
1999,37.8
2000,7.8
2003,14.8
2005,47
2006,82
2007,85.3
2008,65.8
2009,79
2010,16.8
2011,25
2012,14.8
2013,40.5
2014,21
