UF,BA
Cidade,UAUA
Nome Posto,UAUA
Latitude,-9.833333333333334
Longitude,-39.483333333333334
Codigo,939014
Qtd. Anos,84
Ano,Maxima
1911,50
1912,40
1913,100
1914,66.8
1915,43.1
1916,85.7
1918,48.3
1919,100
1920,68.4
1921,78.6
1922,96.8
1923,74.2
1924,76.4
1925,86.4
1926,74.5
1927,60
1928,39
1929,56.3
1930,39
1931,60
1932,36
1933,46.5
1934,42
1935,78
1936,90
1937,71.3
1938,34.8
1939,100.8
1940,57.3
1941,86
1942,54
1943,53.2
1944,116.3
1945,64.1
1946,100.2
1947,69.2
1948,70
1949,81.2
1950,66.2
1951,96.2
1952,58.2
1953,54.2
1954,82.3
1955,44.3
1956,66.4
1957,53
1958,42.7
1959,49.3
1960,105.1
1961,43.2
1962,100
1963,60.4
1964,57.5
1965,65.3
1966,51.4
1967,100.6
1968,100.1
1969,70.1
1970,100.1
1971,70
1972,97.4
1973,80
1974,100.1
1975,80
1976,40
1977,127
1978,56.8
1979,60
1980,80.1
1981,88.2
1982,80.1
1983,80.2
1984,50.1
1985,122.4
1986,70
1987,55.2
1988,68.5
1989,54.4
1990,40
1991,82
1997,26.8
1998,24.4
1999,93
2000,78
