UF,BA
Cidade,PINDAI
Nome Posto,PINDAI
Latitude,-14.5
Longitude,-42.68333333333333
Codigo,1442006
Qtd. Anos,72
Ano,Maxima
1933,43
1934,67.2
1935,84.5
1936,66.3
1937,55
1938,40.4
1939,35.4
1940,60.4
1941,40.6
1942,35.2
1943,38.5
1944,166.2
1945,72.4
1946,50.7
1947,50.2
1949,40.3
1950,60.5
1951,50.4
1952,70.1
1953,80.3
1955,80
1956,90.3
1957,85
1958,60
1959,46.8
1960,66.4
1961,30.1
1962,74.9
1963,89.2
1964,42.2
1965,37
1966,80.1
1967,80
1968,125
1969,51.5
1970,70.9
1971,49.5
1972,75
1973,37
1974,50
1975,102
1976,43
1977,47
1978,70
1979,60
1980,59
1981,70.2
1982,70
1983,91
1984,47
1985,70
1986,48
1987,70
1988,40
1989,115
1990,59
1991,75
2005,52.3
2006,96.7
2007,82.2
2008,86.5
2009,59.9
2010,50.2
2011,115.1
2012,61.8
2013,79
2014,81.6
2015,80.7
2016,119.3
2017,55.5
2018,79.5
2019,85.3
