UF,BA
Cidade,IRARA
Nome Posto,IRARA
Latitude,-12.033333333333333
Longitude,-38.75
Codigo,1238031
Qtd. Anos,71
Ano,Maxima
1918,58.4
1919,63.9
1920,54.9
1921,66.6
1922,66.1
1923,59.1
1924,47.2
1925,72.9
1926,120.3
1927,88.4
1928,80.4
1929,80.9
1930,88.6
1931,110.7
1932,37.6
1933,110.3
1934,67.5
1935,95.1
1936,81.2
1937,80.9
1938,76.4
1939,59.4
1940,80.7
1941,95.7
1942,62.9
1943,66.4
1944,90.5
1945,68.5
1946,62.5
1947,91.6
1948,52.1
1949,85.4
1950,59.2
1951,98.7
1952,92.6
1953,69.1
1954,76.8
1955,75.5
1956,40.7
1957,64.5
1958,61.2
1959,80.7
1960,86.5
1961,51.6
1962,72.2
1963,59.3
1964,67.2
1965,46
1966,73.7
1967,80.5
1968,75.4
1969,195.2
1970,28.6
1971,31.4
1972,57
1973,100.6
1974,66
1975,26.1
1976,112.8
1977,77.8
1978,67
1979,58
1980,55
1981,87
1982,68.5
1983,72.5
1984,50
1985,77.5
1986,47
1989,12.4
1990,15
