UF,BA
Cidade,VEREDA
Nome Posto,SAO JOSE DO PRADO
Latitude,-17.1875
Longitude,-39.98222222222223
Codigo,1740006
Qtd. Anos,66
Ano,Maxima
1954,53
1955,77.6
1956,87.2
1957,60.2
1958,92.4
1959,60.1
1960,11.3
1961,9
1962,21
1963,8
1964,15
1965,8
1966,9
1967,50
1968,69.2
1969,83.5
1970,74.3
1971,68
1972,35
1973,84
1974,92
1975,81
1976,67
1977,78.3
1978,43
1979,76
1980,50
1981,53
1982,70.2
1983,72
1984,63
1985,112
1986,63
1987,77.8
1988,54
1989,61
1990,122
1991,80.5
1992,76.1
1993,79
1994,98.4
1995,58
1996,89.1
1997,39.1
1998,81.3
1999,66.7
2000,87.1
2001,68.7
2002,51
2003,53
2004,76.1
2005,68.3
2006,83
2007,65.3
2008,135.4
2009,98.2
2010,131.5
2011,71.2
2012,60.3
2013,93.3
2014,91.2
2015,73.3
2016,40.3
2017,84.2
2018,98.2
2019,53.5
