UF,BA
Cidade,ITAJU DO COLONIA
Nome Posto,ITAJU DO COLONIA
Latitude,-15.13888888888889
Longitude,-39.72416666666667
Codigo,1539008
Qtd. Anos,57
Ano,Maxima
1963,57
1964,61
1965,100
1966,92
1967,75
1968,55
1969,83
1970,69.8
1971,60
1972,53.8
1973,59.4
1974,92.6
1975,52
1976,40
1977,51.6
1978,59.6
1979,59.8
1980,62.2
1981,58
1982,45
1983,54.2
1984,46
1985,72.8
1986,54.6
1987,59.4
1988,73
1989,55.4
1990,153.4
1991,56.8
1992,71
1993,33.1
1994,54.9
1995,61.6
1996,89
1997,111
1998,80
1999,100
2000,60.5
2001,78.2
2002,88.2
2003,37.3
2004,143.7
2005,113.2
2006,106.4
2007,75.3
2008,34.8
2009,62
2010,58.7
2011,33.1
2012,49
2013,60.7
2014,39.6
2015,47.5
2016,65.4
2017,41.7
2018,124.8
2019,65.7
