UF,BA
Cidade,JAGUARARI
Nome Posto,JAGUARARI
Latitude,-10.258333333333333
Longitude,-40.1975
Codigo,1040004
Qtd. Anos,72
Ano,Maxima
1934,46
1935,83
1936,51
1937,56
1938,45.5
1939,107
1940,93.7
1941,60
1942,60
1943,41.5
1944,52
1945,66
1946,37
1947,67.5
1948,60
1949,48.7
1950,70
1951,56
1952,95
1953,37.3
1954,45
1955,44
1956,69.1
1957,93
1958,49
1959,39
1960,50
1961,50
1962,35
1963,32
1964,54.2
1965,93.1
1966,113.1
1967,54.3
1968,56.4
1969,96.8
1970,64.1
1971,78.3
1972,41.8
1973,74.2
1974,93.4
1975,78.1
1976,32.3
1977,80.1
1978,61.1
1979,33.1
1980,84
1981,50.2
1982,57.3
1983,82
1984,35
1985,81
1986,89.4
1987,90
1988,103.1
1989,117.1
1990,62.3
1991,102
2000,26
2001,54.8
2002,28
2003,2.5
2005,44.8
2006,31.5
2007,48.5
2008,50.8
2009,46.8
2010,60
2011,12.8
2012,10.3
2013,90.3
2014,19
