UF,BA
Cidade,RIACHAO DAS NEVES
Nome Posto,CARIPARE-1
Latitude,-11.533333333333333
Longitude,-45.06666666666667
Codigo,1145003
Qtd. Anos,47
Ano,Maxima
1939,51.3
1940,83
1941,83.6
1942,50.3
1943,81.8
1944,73.7
1945,84.3
1946,65
1947,81.8
1948,64
1949,96.3
1950,95.2
1951,86
1952,82.7
1953,67.2
1954,63.9
1955,63.7
1956,67.2
1957,67
1958,80.9
1959,72.8
1960,63.1
1961,40.8
1962,82.4
1963,63.5
1964,89.3
1965,40.2
1966,116.6
1967,59.2
1968,58.8
1969,70
1970,90.2
1971,67.4
1972,82
1973,104.8
1974,78
1975,70.2
1976,52.8
1977,54.8
1978,114.6
1979,59.4
1980,56.2
1981,60
1982,45.8
1983,132.6
1984,60.2
1985,107
