UF,BA
Cidade,JUAZEIRO
Nome Posto,JUREMAL (JUREMA)
Latitude,-9.72861111111111
Longitude,-40.35777777777778
Codigo,940020
Qtd. Anos,59
Ano,Maxima
1933,61
1934,65
1935,37.5
1936,120
1937,41
1938,72
1939,55
1940,26.7
1941,50.6
1942,52.2
1943,60.4
1944,56.5
1945,60
1946,54.2
1947,54
1949,68
1950,24.2
1951,31
1952,85.1
1953,28.3
1954,115.1
1955,24.2
1956,92.1
1957,98.1
1958,82.3
1959,128.2
1960,211
1961,74.2
1962,85.2
1963,32
1964,95.2
1965,82.2
1966,75.2
1967,56
1968,77
1969,75.5
1970,35.8
1971,80.1
1972,109
1973,80
1974,100
1975,50
1976,120.1
1977,80
1978,70
1979,50
1981,164
1982,200
1983,70
1984,50
1985,50
1986,122
1987,56
1988,72
1989,82.2
1990,25
1991,90
1994,42
1995,32
