UF,BA
Cidade,QUEIMADAS
Nome Posto,QUEIMADAS
Latitude,-10.974166666666667
Longitude,-39.632777777777775
Codigo,1039019
Qtd. Anos,78
Ano,Maxima
1937,3.3
1938,73
1939,36.5
1940,66.2
1941,70.3
1944,43.8
1945,37.4
1946,46.2
1947,40.5
1948,74.4
1949,78.2
1950,66.5
1951,47.1
1952,62.2
1953,67
1954,45.4
1955,70.1
1956,58.5
1957,36.5
1958,73
1959,24
1960,65
1961,53
1962,56
1963,34
1964,46
1965,43
1966,98
1967,52
1968,100
1969,100
1973,30.5
1974,35
1975,83
1976,55
1977,75
1978,47.1
1979,24.8
1980,24.8
1981,75.8
1982,24.2
1983,40.2
1984,117.8
1985,65.6
1986,41.2
1987,56.2
1988,67.3
1989,93.8
1990,30.9
1991,40.6
1992,54.3
1993,80.4
1994,46.6
1995,57.8
1996,66.2
1997,66.2
1998,38.4
1999,27.8
2000,87.4
2001,87.8
2002,84.2
2003,74.8
2004,139.1
2005,73.2
2006,171.3
2007,44.8
2008,30.4
2009,103.2
2010,84.5
2011,66.3
2012,46.7
2013,42.9
2014,148.8
2015,21.3
2016,57.1
2017,25.5
2018,83.7
2019,44.7
