UF,BA
Cidade,BOM JESUS DA LAPA
Nome Posto,FAZENDA BATALHA
Latitude,-13.638333333333334
Longitude,-43.470555555555556
Codigo,1343009
Qtd. Anos,54
Ano,Maxima
1939,36
1940,61.3
1941,64.8
1942,38.3
1943,48.2
1944,81.5
1945,36.4
1946,26
1947,36.2
1948,45.5
1949,55.2
1950,73.5
1952,58.5
1953,98.1
1954,83.4
1955,59.6
1956,58.2
1957,59.5
1958,85.2
1959,48.5
1960,54
1961,104.1
1962,129.1
1963,57
1964,97
1965,38
1966,93.5
1967,102
1968,60
1969,90
1970,126
1971,48
1972,73
1973,72.5
1974,57
1975,67
1976,106
1977,83
1978,114
1979,85
1980,81
1981,201
1982,57
1983,96
1984,69
1985,55
1986,45
1987,59
1988,96
1989,67
1990,60
1991,77
1993,80
1994,67
