UF,BA
Cidade,ITAETE
Nome Posto,ITAETE
Latitude,-12.989999999999998
Longitude,-40.96333333333334
Codigo,1240012
Qtd. Anos,87
Ano,Maxima
1933,35
1934,64
1935,78
1936,65
1937,63
1938,48
1939,81
1940,99.2
1941,75.4
1942,100.3
1943,87
1944,87.2
1945,83.3
1946,74
1947,67
1948,75
1949,72
1950,55
1951,95
1952,66
1953,48
1954,87
1955,73
1956,85
1957,53.4
1958,104
1959,147
1960,97
1961,98.3
1962,46
1963,83
1964,60.8
1965,54.3
1966,84.3
1967,122.5
1968,112.4
1969,65.5
1970,102.3
1971,33.3
1972,90.1
1973,44.6
1974,61.3
1975,59.4
1976,62
1977,72
1978,65.5
1979,57.2
1980,72.3
1981,70
1982,48
1983,78
1984,53
1985,73.8
1986,130
1987,45.4
1988,116
1989,94
1990,46.7
1991,53.4
1992,87
1993,88
1994,84.4
1995,100.5
1996,19.2
1997,68.3
1998,45
1999,88.4
2000,65
2001,61.9
2002,121.2
2003,61.3
2004,78.9
2005,106.7
2006,154.1
2007,65.3
2008,113.6
2009,69.3
2010,82.7
2011,38.5
2012,67.7
2013,62
2014,89.2
2015,59.8
2016,58.6
2017,104.5
2018,47.5
2019,72.4
