UF,BA
Cidade,JEQUIE
Nome Posto,JEQUIE
Latitude,-13.882222222222223
Longitude,-40.140277777777776
Codigo,1340003
Qtd. Anos,77
Ano,Maxima
1943,42.3
1944,86.9
1945,51
1946,28.8
1947,43.3
1948,48.2
1949,57
1950,64.4
1951,51.5
1952,54.3
1953,44.7
1954,37.1
1955,60
1956,56.8
1957,35.4
1958,81.8
1959,40.8
1960,66.7
1961,37.4
1962,102.5
1963,102
1964,49.3
1965,70.8
1966,65.5
1967,54.5
1968,49.5
1969,54.1
1970,70
1971,37
1972,65.8
1973,82.1
1974,80
1975,50
1976,50
1977,50
1978,56
1979,50
1980,100
1981,62
1982,115
1983,67
1984,36
1985,87.7
1986,29
1987,61
1988,54
1989,56.1
1990,60.3
1991,80
1992,50.6
1993,20
1994,63.9
1995,70.4
1996,100
1997,74
1998,70
1999,80
2000,61.5
2001,40
2002,80
2003,10
2004,61.2
2005,54.7
2006,109
2007,64.8
2008,62.3
2009,84.4
2010,107
2011,60.2
2012,31
2013,64.6
2014,49.5
2015,54.8
2016,43.3
2017,48.7
2018,47.2
2019,53.3
