UF,BA
Cidade,CARINHANHA
Nome Posto,CARINHANHA-2
Latitude,-14.3
Longitude,-43.766666666666666
Codigo,1443018
Qtd. Anos,73
Ano,Maxima
1911,19
1912,164
1913,104.8
1914,65
1915,66
1916,52
1917,67
1918,52.7
1919,60.2
1922,55.8
1923,56.2
1924,74.2
1925,62
1926,62.5
1927,62.5
1928,53.6
1929,61
1930,65.1
1931,45.6
1932,60.8
1933,60
1934,41.9
1935,65.4
1936,64.5
1937,110.5
1938,57.8
1939,57.3
1940,81.6
1941,99.4
1942,65.3
1943,74.7
1944,150
1945,100.4
1946,48.1
1947,57.2
1948,68.6
1949,80.2
1950,81.2
1951,78.3
1952,71.2
1953,83.4
1954,47.6
1955,72.5
1956,95.5
1957,52.3
1958,53.4
1959,35.4
1960,95.3
1961,54.6
1962,107.3
1963,64.6
1964,87.2
1965,65.5
1966,60.2
1967,57.1
1968,93
1969,81
1970,68.4
1971,54.8
1972,67.8
1973,62.3
1974,63
1975,51.1
1976,92.3
1977,56.8
1978,80
1979,56.2
1980,55
1981,46.4
1982,70.3
1983,35.4
1984,49
1985,130.5
