UF,BA
Cidade,SAO FELIX
Nome Posto,SAO FELIX
Latitude,-12.633333333333333
Longitude,-38.983333333333334
Codigo,1238025
Qtd. Anos,47
Ano,Maxima
1945,27
1946,38
1947,60.1
1948,49
1949,56
1950,46
1951,63.3
1952,109.3
1953,65.1
1954,140
1955,53.9
1956,80.7
1957,52
1958,64
1959,45
1960,107.1
1961,72.3
1962,74.2
1963,35.4
1964,104.8
1965,70.4
1966,18.2
1967,70
1968,66.8
1969,75.4
1970,138.2
1971,113
1972,41.5
1973,96
1974,68.2
1975,59.4
1976,55.6
1977,88.5
1978,67.2
1979,54.6
1980,58.6
1981,48.6
1982,105.8
1983,46.6
1984,100
1985,128.6
1986,73.4
1987,81.6
1988,110
1989,119.4
1990,49.6
1991,60.8
