UF,BA
Cidade,TAPIRAMUTA
Nome Posto,TAPIRAMUTA
Latitude,-11.833333333333334
Longitude,-40.766666666666666
Codigo,1140024
Qtd. Anos,38
Ano,Maxima
1959,30
1960,42
1961,30
1962,60
1963,92
1964,65
1965,104.2
1966,97.2
1967,55.8
1968,100
1969,50.2
1970,52.1
1971,60.2
1972,64.3
1973,100.5
1974,63.3
1975,144.5
1976,65.4
1977,180
1978,87.4
1979,183.4
1981,18.7
1982,45
1983,45
1984,115
1985,90
2000,13.8
2003,22.8
2005,39.5
2006,53
2007,92.3
2008,84.5
2009,50.8
2010,38.5
2011,29
2012,23.8
2013,37.3
2014,20.5
