UF,BA
Cidade,JABORANDI
Nome Posto,GATOS
Latitude,-13.710555555555555
Longitude,-44.6325
Codigo,1344013
Qtd. Anos,61
Ano,Maxima
1952,47.4
1953,37.8
1954,56
1955,71.8
1956,51.2
1957,91
1958,84.4
1959,84
1960,93
1961,43.7
1962,84
1963,70
1964,42
1972,71.2
1973,135.6
1974,85.3
1975,104.9
1976,58.6
1977,73
1978,115.4
1979,75
1980,66.8
1981,75.2
1982,84.2
1983,71.2
1984,98.4
1985,86.6
1986,101.4
1987,100.2
1988,92.3
1989,97.4
1990,84
1991,106.4
1992,81.8
1993,146.5
1994,81.6
1995,69.8
1996,50.5
1997,73.7
1998,97.2
1999,63.2
2000,73.9
2001,86.4
2002,52.2
2003,110.9
2004,107.8
2005,69.2
2006,90.9
2007,61.4
2008,86.6
2009,59.3
2010,72.8
2011,78.4
2012,83.9
2013,75.2
2014,55.3
2015,59.1
2016,146.8
2017,42.1
2018,102.3
2019,79.1
