UF,BA
Cidade,PEDRO ALEXANDRE
Nome Posto,PEDRO ALEXANDRE (VOTURUNA)
Latitude,-10.012222222222222
Longitude,-37.89388888888889
Codigo,1037054
Qtd. Anos,60
Ano,Maxima
1937,30.5
1938,31
1939,32.1
1940,60.9
1941,55.6
1942,24.1
1943,62.6
1944,80.1
1945,57.5
1946,30.4
1947,84.7
1948,60.4
1949,48.3
1950,66.3
1951,16.8
1952,78.8
1953,35.2
1954,44.8
1955,40.3
1956,21.3
1957,36.4
1958,44.5
1959,20.5
1960,47.4
1961,30.3
1962,84.2
1963,56.3
1964,61.1
1965,55.2
1966,73
1967,50.6
1968,50.1
1969,56.1
1970,80
1971,42.5
1972,39.5
1973,25
1974,72.2
1975,60.2
1976,34.1
1977,29.2
1978,68.6
1979,50.2
1980,75.2
1981,79.2
1982,36.7
1983,49
1984,30.4
1985,82.2
1986,49.4
1987,38.6
1988,100.6
1989,60.4
1990,40
1991,40
1994,80.1
1995,20.2
1996,37.4
1997,73.4
1998,16.2
