UF,BA
Cidade,MACAUBAS
Nome Posto,ACUDE MACAUBAS
Latitude,-13.016666666666667
Longitude,-42.7
Codigo,1342009
Qtd. Anos,55
Ano,Maxima
1934,48.9
1935,64.2
1936,65.7
1937,49.6
1938,65.7
1939,45.2
1940,75.4
1941,47.1
1942,96.5
1943,58.5
1944,67.7
1945,72.5
1946,77.8
1947,63.2
1948,50.6
1949,62.3
1950,68
1951,63.1
1952,90.8
1953,95.5
1954,65.5
1955,72
1956,65.3
1957,70.4
1958,58
1959,98.5
1960,130.2
1961,48.3
1962,37.3
1963,65.1
1964,94.3
1965,58
1966,98
1967,80.6
1968,95.2
1969,62.1
1970,80
1971,158.4
1972,63
1973,98
1974,55.5
1975,63.6
1976,55.8
1977,87.5
1978,71
1979,77.4
1980,53
1981,58
1982,35.2
1983,87
1984,82.3
1985,82.3
1986,12.2
1987,14.2
1988,13.4
