UF,BA
Cidade,TANHACU
Nome Posto,SANTO ANTONIO
Latitude,-14.099444444444446
Longitude,-41.29111111111111
Codigo,1441000
Qtd. Anos,80
Ano,Maxima
1940,32.4
1941,80.8
1942,99.2
1943,51
1944,59.6
1945,84
1946,111.4
1947,50.8
1948,76.4
1949,60.6
1950,60.2
1951,88.4
1952,70.6
1953,45
1954,73.2
1955,32.2
1956,37.4
1957,62.2
1958,79.2
1959,59.4
1960,81
1961,29.8
1962,24.4
1963,41
1964,38.8
1965,21.2
1966,68.2
1967,37.2
1968,32.8
1969,115.4
1970,60.2
1971,31.4
1972,106
1973,67.2
1974,49.4
1975,41.4
1976,61.4
1977,66
1978,77.6
1979,39.6
1980,71
1981,96.8
1982,30.2
1983,86.6
1984,44
1985,132.2
1986,53.8
1987,54.8
1988,57
1989,59.6
1990,66.8
1991,89.7
1992,43.8
1993,69
1994,36.8
1995,76.6
1996,35.5
1997,36.6
1998,40.7
1999,41.3
2000,53.7
2001,46.5
2002,86.5
2003,36
2004,89.7
2005,48.1
2006,81
2007,50.4
2008,131
2009,105.3
2010,56.7
2011,51
2012,57.9
2013,47.4
2014,50.4
2015,75.8
2016,75.6
2017,76.3
2018,67.8
2019,68.7
