UF,BA
Cidade,TUCANO
Nome Posto,PONTE EUCLIDES DA CUNHA
Latitude,-11.063055555555556
Longitude,-38.83527777777778
Codigo,1138026
Qtd. Anos,37
Ano,Maxima
1983,21.8
1984,34.2
1985,44.9
1986,62.8
1987,55.7
1988,124.6
1989,80
1990,38
1991,55
1992,53.1
1993,17
1994,37.5
1995,78.6
1996,36
1997,23.9
1998,51.6
1999,56.7
2000,87.5
2001,92.4
2002,33.9
2003,46.5
2004,85.5
2005,89.2
2006,44
2007,26.6
2008,30.9
2009,31.2
2010,59.5
2011,52.2
2012,30
2013,63.3
2014,43.9
2015,50.2
2016,65.9
2017,47.1
2018,28.4
2019,43
