UF,BA
Cidade,IPUPIARA
Nome Posto,IPUPIARA (JORDAO)
Latitude,-11.816666666666666
Longitude,-42.61666666666667
Codigo,1142013
Qtd. Anos,59
Ano,Maxima
1937,33.5
1938,66.5
1939,63
1940,61.3
1941,49.7
1942,66
1943,66
1944,48
1945,56
1946,125
1947,154
1948,105
1949,62
1950,78
1951,68.5
1952,102
1953,66.1
1954,125
1955,66.5
1956,61.2
1957,56
1958,58.5
1959,48
1960,34.5
1961,30
1962,65
1963,44
1964,61.2
1965,62.5
1966,122.5
1967,98.5
1968,81.5
1969,75.5
1970,54.6
1971,71
1972,55.4
1973,48.5
1974,104
1975,25
1976,21
1977,48
1978,48
1979,80.2
1980,62.6
1981,57.5
1982,21
1983,130
1984,74
1985,96
1986,65
1987,61
1988,86
1989,98
1990,108
1991,29
1994,41
1996,20
1997,45
1998,16
