UF,BA
Cidade,JAGUARARI
Nome Posto,SANTA ROSA
Latitude,-10.096666666666668
Longitude,-39.86833333333333
Codigo,1039038
Qtd. Anos,62
Ano,Maxima
1942,30.8
1943,40.5
1944,57.3
1945,44.1
1946,23.5
1947,81.6
1950,65.4
1951,64.5
1952,91
1953,21.2
1954,21.4
1955,18.2
1956,56.4
1957,50.3
1958,51.4
1959,36.1
1960,48.4
1961,16
1962,52.5
1963,75.4
1964,64.2
1965,135
1966,54.2
1967,63.4
1968,55.4
1969,65.3
1970,54.3
1971,36.2
1972,46.2
1973,64.1
1974,35.4
1975,48.4
1976,26.4
1977,60.2
1978,32
1979,50.4
1980,50
1981,47
1982,30
1983,40
1984,30
1985,50.2
1986,17.2
1987,16
1988,24.2
1989,30
1990,68
1999,60
2000,13.5
2002,23.8
2003,76.5
2004,66.3
2005,66.5
2006,48.3
2007,32.8
2008,44
2009,73.5
2010,67.5
2011,87.3
2012,34
2013,21.3
2014,4.3
