UF,BA
Cidade,ITIUBA
Nome Posto,ACUDE JACURICI
Latitude,-10.651388888888889
Longitude,-39.721111111111114
Codigo,1039025
Qtd. Anos,36
Ano,Maxima
1984,12.8
1985,59.2
1986,55.5
1987,70
1988,87.2
1989,44.6
1990,45.5
1991,88.5
1992,42.3
1993,33.5
1994,41.1
1995,37.6
1996,32.7
1997,79.9
1998,55
1999,64.2
2000,71.1
2001,42.9
2002,52.4
2003,43.9
2004,65.9
2005,178.1
2006,83.3
2007,66.1
2008,94.2
2009,34.6
2010,119.7
2011,61.7
2012,32.3
2013,71.2
2014,64.1
2015,22.7
2016,84.3
2017,42
2018,51.3
2019,80.5
