UF,BA
Cidade,ALAGOINHAS
Nome Posto,BURACICA
Latitude,-12.251388888888888
Longitude,-38.515
Codigo,1238042
Qtd. Anos,57
Ano,Maxima
1963,100.3
1964,76
1965,70.3
1966,93.2
1967,73.3
1968,75
1969,93.2
1970,41
1971,35
1972,36.2
1973,63.4
1974,125
1975,48
1976,41.2
1977,68
1978,62
1979,56
1980,47
1981,74
1982,85
1983,53
1984,50
1985,105
1986,51
1987,51.4
1988,104.1
1989,69.5
1990,48
1991,57.6
1992,63
1993,31.7
1994,46
1995,48.9
1996,49.7
1997,45.2
1998,40.7
1999,105.9
2000,66.3
2001,94.7
2002,67
2003,68.5
2004,54.4
2005,67.7
2006,79.3
2007,101
2008,68.6
2009,70.5
2010,75
2011,110
2012,72.7
2013,58.2
2014,28.5
2015,50.7
2016,55.4
2017,77.9
2018,44.3
2019,78.4
