UF,BA
Cidade,WENCESLAU GUIMARAES
Nome Posto,SANTA LUZIA
Latitude,-13.601111111111111
Longitude,-39.49166666666667
Codigo,1339000
Qtd. Anos,67
Ano,Maxima
1953,33.2
1954,116.4
1955,42.4
1956,50.5
1957,56.3
1958,35.3
1959,76.3
1960,75.3
1961,25.4
1962,80.6
1963,71.8
1964,94.7
1965,39
1966,93
1967,62.6
1968,102.6
1969,66.4
1970,40.4
1971,54.2
1972,105.3
1973,175.8
1974,84.6
1975,50.6
1976,77.6
1977,84.6
1978,77.6
1979,77.4
1980,75.4
1981,49.4
1982,56.4
1983,49.2
1984,77.4
1985,148.6
1986,78
1987,44.5
1988,55.6
1989,82.5
1990,72.3
1991,49.3
1992,76.8
1993,91.3
1994,53.8
1995,109.4
1996,85.3
1997,115.7
1998,39.8
1999,76.2
2000,51.5
2001,52.2
2002,80.3
2003,38.9
2004,92.6
2005,44.9
2006,77.1
2007,47.2
2008,60.8
2009,46.5
2010,55.3
2011,96
2012,42.5
2013,63.6
2014,101.2
2015,38.9
2016,57.4
2017,70.1
2018,56.9
2019,73.5
