UF,BA
Cidade,ITANHEM
Nome Posto,ITANHEM
Latitude,-17.16333333333333
Longitude,-40.32666666666667
Codigo,1740008
Qtd. Anos,55
Ano,Maxima
1965,93.4
1966,49.4
1967,63.2
1968,77
1969,75.4
1970,118.4
1971,37.4
1972,85
1973,83.2
1974,82
1975,79.4
1976,65
1977,55
1978,55.2
1979,94
1980,88.6
1981,78.8
1982,73.4
1983,83.6
1984,72
1985,75
1986,44.2
1987,46.2
1988,63.6
1989,40.4
1990,83.6
1991,52
1992,78.6
1993,62
1994,81.2
1995,94
1996,98.8
1997,72
1998,98.8
1999,103.6
2000,159.2
2001,105.3
2002,112.4
2003,63.8
2004,108.3
2005,102.1
2006,127.3
2007,57.8
2008,90.5
2009,71.6
2010,75.9
2011,71.3
2012,50
2013,59.1
2014,75.8
2015,50.7
2016,58.2
2017,68.5
2018,58.2
2019,99.3
