UF,BA
Cidade,BARRA
Nome Posto,BOQUEIRAO (BOSSOROCA)
Latitude,-11.342777777777778
Longitude,-43.825
Codigo,1143009
Qtd. Anos,59
Ano,Maxima
1936,155.5
1937,69.4
1938,72.1
1939,88.3
1940,69
1941,37
1942,150.2
1943,98
1944,79
1945,54.3
1946,74.2
1947,79
1948,65
1949,56.6
1950,61.6
1951,70.2
1952,92.4
1953,116
1954,82.3
1955,119.2
1956,85.6
1957,92.5
1958,111.6
1959,49
1960,126.2
1961,61.2
1962,68.3
1963,51.4
1964,140.2
1965,67.2
1966,82.2
1967,62.1
1968,104
1969,78.2
1970,78.2
1971,141
1972,56.9
1973,49.2
1974,94.2
1975,98
1976,89.6
1977,72.2
1978,70
1979,84
1980,113
1981,79.6
1982,78.2
1983,74
1984,61.2
1985,68
1986,81
1987,63
1988,68
1989,67.4
1990,88.9
1991,113.2
1996,59.2
1997,111.8
1998,58.8
