UF,BA
Cidade,SERRINHA
Nome Posto,SERRINHA
Latitude,-11.65
Longitude,-39
Codigo,1139016
Qtd. Anos,76
Ano,Maxima
1916,18.2
1917,43.1
1918,48
1919,62.6
1920,62.3
1921,64
1922,64
1923,59.8
1924,69.1
1925,58
1926,61.4
1927,62
1928,46
1929,60
1930,74.4
1931,107.6
1932,36.2
1933,46.1
1934,85.3
1935,44.2
1936,89.4
1937,36
1938,44.8
1939,34.2
1940,39.2
1941,68.1
1942,45.3
1943,37.5
1944,92.2
1945,54.3
1946,66.2
1947,81.5
1948,53.8
1949,83
1950,54
1951,58.5
1952,60
1953,95
1954,98
1955,52.5
1956,48
1957,90.2
1958,76.5
1959,56
1960,90
1961,77
1962,70
1963,75
1964,73
1965,59
1966,87
1967,116
1968,54
1969,80
1970,68
1971,25.5
1972,150
1973,50
1974,62
1975,68
1976,62.3
1977,100
1978,90.2
1979,46.6
1980,90.5
1983,2.9
1986,12.4
1987,41.5
1988,78
1989,7
1993,28.4
1994,37.4
1995,134.2
1996,39
1997,132.9
1998,78
