UF,BA
Cidade,CARINHANHA
Nome Posto,CARINHANHA-1
Latitude,-14.304444444444446
Longitude,-43.768055555555556
Codigo,1443002
Qtd. Anos,58
Ano,Maxima
1937,10
1938,18.7
1939,64.4
1940,65
1943,50.4
1944,67
1945,42.5
1964,88
1967,75
1968,106
1969,110.5
1970,101
1971,65.3
1972,70.2
1973,64.2
1974,57
1975,54
1976,92.6
1977,56.6
1978,96.8
1979,60.4
1980,61
1981,55.5
1982,53.6
1983,76
1984,61.6
1985,126.8
1986,36.2
1987,61.4
1988,42
1989,68.6
1990,45.8
1991,76
1992,93
1993,38.4
1994,76.6
1995,80.1
1996,79
1997,74.8
1998,122
1999,77
2000,106.4
2001,49.3
2002,92.4
2003,36.7
2004,73.4
2005,78.6
2006,87
2007,100
2008,55.7
2009,113.3
2010,54.3
2011,71.5
2012,82
2013,53.9
2014,89
2015,45.6
2016,93.4
