UF,BA
Cidade,BARRA
Nome Posto,BARRA-2
Latitude,-11.083333333333334
Longitude,-43.15
Codigo,1143006
Qtd. Anos,50
Ano,Maxima
1911,48.1
1912,70.2
1913,67.8
1914,84.7
1915,68.7
1916,74
1917,71.5
1918,68.1
1919,78.3
1920,67.1
1921,77.6
1922,58
1923,55.3
1924,68.5
1925,67.7
1926,59.8
1927,66
1928,182
1929,102.2
1930,66.8
1931,60.1
1932,30.7
1933,66.7
1934,68
1935,91
1936,70
1937,98
1938,47.5
1939,47
1940,70.5
1941,65.3
1942,69.2
1943,53.6
1944,81.9
1945,86
1946,46.1
1947,70
1948,67.5
1949,64.2
1950,46.9
1951,63
1952,119.5
1953,40.4
1954,65
1955,90.2
1956,79.1
1957,66
1958,76.4
1959,66.4
1960,157.1
