UF,BA
Cidade,FORMOSA DO RIO PRETO
Nome Posto,FORMOSA DO RIO PRETO (CODEVASF)
Latitude,-11.05
Longitude,-45.18333333333333
Codigo,1145012
Qtd. Anos,48
Ano,Maxima
1941,55.1
1942,57
1943,106
1944,61.7
1945,72
1946,70.9
1947,96
1948,83.6
1949,89.5
1950,276
1951,61.8
1952,52.2
1953,73
1954,60
1955,118.4
1956,78.3
1957,45.5
1958,69.2
1959,50.8
1960,69.2
1961,63.3
1962,63
1963,98.3
1964,69.2
1965,35.5
1966,53.8
1972,36.1
1973,75.5
1977,74
1978,85
1979,99.2
1980,104.4
1981,75
1982,52
1983,71
1984,47
1985,72.2
1986,40.8
1987,96
1988,78.5
1989,120.8
1990,108.8
1991,103
1992,80
1993,56
1994,69.4
1995,70
1996,63.6
